USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE,EVENT_VALUE
10000,9,1568601959,Hover,0.8919732768611344
10001,9,1569004851,Load,0.9781699994088988
10002,5,1568202917,Hover,0.7579315466168562
10003,10,1568426832,Complete,0.7836545515392452
10004,6,1568776795,Hover,0.5385087578758851
10005,4,1569082614,Hover,0.6863683078270897
10007,3,1568910242,Complete,0.9791771324503971
10008,3,1568700711,Register,0.5359959468902563
10009,6,1568642177,Complete,0.9783656919720203
10011,4,1568407138,Load,0.7741701569826627
10013,8,1568795635,Click,0.909093991178654
10014,2,1568631643,Load,0.9404314780961718
10015,9,1568452092,Load,0.8299067645082276
10016,7,1569075033,Complete,0.7154130348769954
10017,3,1569030174,Load,0.9836979484168185
10019,3,1569011149,Register,0.5979383308346566
10022,7,1568434406,Register,0.7232136499578339
10023,1,1568540103,Hover,0.5894586320429765
10024,9,1568775575,Click,0.6132328216490377
10025,3,1568552220,Load,0.5230619803487404
10026,11,1568488732,Click,0.6302575866921347
10028,1,1568213022,Load,0.5334551870533343
10029,9,1568677774,Complete,0.8430435533795426
10030,2,1568268292,Register,0.606851428323645
10031,1,1568957110,Register,0.8109375768405627
10033,3,1568236456,Load,0.6728927336397017
10034,8,1568355440,Load,0.7569237418549367
10037,8,1568657268,Load,0.9523973389019846
10038,6,1568804018,Register,0.6218451151143398
10039,8,1568601987,Load,0.5049988563951424
10042,2,1568469356,Load,0.6156070600616901
10045,2,1568889438,Click,0.8899363586763593
10047,8,1568722358,Click,0.7927495150316994
10049,9,1568954725,Hover,0.8943376486016763
10050,11,1569054765,Complete,0.7668091146981018
10051,5,1569028365,Hover,0.8480647363151683
10052,1,1568344312,Complete,0.6512959135755761
10053,3,1568379893,Register,0.6377518323238304
10054,5,1568627513,Hover,0.5424975590079386
10055,9,1568849956,Hover,0.7484632926908695
10058,3,1569078907,Complete,0.600592167365221
10059,2,1568178368,Hover,0.7630699255373364
10060,5,1568201956,Click,0.7936319187558938
10061,6,1568678015,Register,0.5824333404266433
10063,11,1568756270,Register,0.5108289377637865
10064,6,1568714587,Complete,0.8841371797458786
10065,3,1568864620,Register,0.6750339916818621
10067,3,1569088175,Hover,0.9856393083570691
10068,7,1568487748,Click,0.5540839395437718
10069,5,1568426823,Complete,0.8938903297371414
10070,1,1568702705,Register,0.5534259341715216
10071,4,1569058017,Hover,0.6183826521586355
10072,1,1568874199,Complete,0.6216070053314677
10073,1,1568656513,Register,0.9953401202215366
10074,2,1568804541,Register,0.9182433592439607
10075,11,1568882517,Click,0.6970979577954977
10076,11,1569069664,Load,0.8630894061132677
10078,4,1568248973,Register,0.7801537427232011
10079,3,1568371840,Load,0.9161832614230105
10080,10,1568406705,Hover,0.8744635500991809
10081,3,1568857895,Click,0.5017165279844606
10082,8,1568655278,Click,0.5782882675682707
10083,1,1568196147,Click,0.8431275719355931
10084,1,1568948544,Load,0.7141847907602448
10085,5,1568535145,Load,0.8227608218646707
10086,6,1568402146,Hover,0.5632411679600504
10087,4,1568675331,Complete,0.8761279305560767
10089,2,1568144456,Register,0.9335385438600234
10091,7,1568437410,Click,0.5162214469843449
10092,3,1568605329,Complete,0.8314870703010182
10094,11,1568676048,Complete,0.63331366493249
10097,11,1568914366,Click,0.7477533200925635
10098,9,1568502328,Load,0.8698173441878587
10099,4,1568815891,Register,0.5408282382821488
10100,10,1568676048,Register,0.6335783788022787
10101,2,1568395852,Hover,0.8990958210109214
10102,1,1568469154,Load,0.5424975994863133
10107,7,1568407673,Register,0.791958941181419
10108,7,1568194302,Click,0.6968663213278139
10109,2,1568668211,Register,0.9627544850504588
10110,2,1568552782,Click,0.7461444064625671
10111,5,1568586928,Register,0.9049504396433607
10112,2,1568725170,Click,0.7598554122902534
10113,1,1568892894,Hover,0.7775312727621199
10114,10,1568406671,Register,0.5850598205611799
10115,1,1568395175,Complete,0.7671591955895001
10116,6,1569006049,Complete,0.9545250321471614
10118,10,1568634385,Hover,0.7686716102116029
10120,5,1568440063,Hover,0.7847973793807557
10121,9,1568274803,Complete,0.91390263321187
10122,5,1568398779,Load,0.549891808872788
10124,9,1568182655,Hover,0.7822825958126496
10125,2,1568925259,Load,0.7326283217438563
10129,5,1568658009,Click,0.6143341875415571
10131,7,1568190045,Load,0.5305702143946436
10132,11,1568506641,Complete,0.8776848538698934
10133,2,1568878319,Click,0.657764942156564
10135,5,1568873485,Complete,0.7036143449456043
10136,3,1568807421,Hover,0.7512304283753413
10138,4,1568595002,Click,0.5386576233836186
10140,5,1568933029,Register,0.7804266106836353
10142,3,1568721332,Hover,0.580644446805799
10143,11,1569040728,Complete,0.5226394039476675
10144,3,1568471636,Register,0.6242365646455006
10145,5,1568700241,Load,0.6159377380594201
10147,4,1568532791,Click,0.5070390176011343
10149,1,1569063255,Load,0.8671268652146862
10150,9,1568912806,Load,0.999600715977695
10152,6,1568532797,Load,0.9556562943201805
10154,6,1568983106,Complete,0.5536750891667077
10155,8,1568957305,Click,0.845533667182738
